Metadata_Plate,negcon,poscon,trt
110000295511,68,11,305
110000295514,65,11,308
110000295516,384,0,0
110000295539,384,0,0
110000295541,66,11,307
110000295542,32,32,320
110000295543,32,32,319
110000295544,32,32,319
110000295545,32,32,315
110000295559,384,0,0
110000295561,65,11,308
110000295562,32,32,320
110000295563,32,32,320
110000295564,32,32,320
110000295565,32,32,320
110000295566,32,32,320
110000295567,32,32,319
110000295568,32,32,320
110000295569,32,32,320
110000295570,32,32,320
110000295571,32,32,320
110000295572,32,32,320
110000295573,32,32,320
110000295575,32,32,264
110000295576,32,32,259
110000295577,32,32,206
110000295578,32,32,207
110000295599,384,0,0
110000295601,67,11,306
110000295602,32,32,227
110000295603,32,32,227
110000295604,32,32,217
110000295605,32,32,206
110000295606,32,32,229
110000295607,32,32,229
110000295608,32,32,220
110000295609,32,32,210
110000295610,32,32,246
110000295611,32,32,239
110000295612,32,33,253
110000295613,32,32,208
110000295615,32,32,242
110000295616,32,32,239
110000295617,32,33,253
110000295618,32,32,208
110000295619,32,32,213
110000295620,32,32,253
110000295621,32,32,253
110000295622,32,33,216
110000295624,32,32,304
110000295625,32,32,310
110000295626,32,32,296
110000295627,67,11,306
110000295629,384,0,0
110000296159,384,0,0
110000296161,65,11,308
110000296162,32,32,320
110000296163,32,32,320
110000296164,32,32,317
110000296165,32,32,320
110000296166,32,32,320
110000296167,32,32,320
110000296168,32,32,185
110000296169,32,32,96
110000296170,32,32,316
110000296171,32,32,318
110000296172,32,32,319
110000296173,32,32,318
110000296175,32,32,315
110000296176,32,32,318
110000296177,32,32,319
110000296178,32,32,318
110000296288,32,33,222
110000296289,32,32,248
110000296294,32,34,219
110000296295,32,32,183
110000296296,65,11,308
110000296298,384,0,0
110000296299,32,32,319
110000296300,32,32,320
110000296301,32,32,318
110000296302,32,32,319
110000296303,32,32,320
110000296304,32,32,320
110000296305,32,32,320
110000296306,32,32,318
110000296307,32,32,320
110000296308,32,32,319
110000296309,32,32,55
110000296310,32,32,0
110000296311,65,11,308
110000296319,384,0,0
110000296322,32,32,192
110000296323,32,32,320
110000296324,32,32,320
110000296325,32,32,192
110000296326,32,32,320
110000296327,32,32,320
110000296328,32,32,320
110000296329,32,32,320
110000296330,32,32,319
110000296331,32,32,320
110000296332,32,32,318
110000296333,32,32,318
110000296337,384,0,0
110000296339,64,11,309
110000296340,32,32,320
110000296341,32,32,320
110000296342,32,32,319
110000296343,32,32,320
110000296344,32,32,320
110000296345,32,32,320
110000296346,32,32,319
110000296347,32,32,320
110000296350,32,32,319
110000296351,32,32,319
110000296352,32,32,320
110000296353,32,32,320
110000296354,32,32,319
110000296355,32,32,319
110000296356,64,11,309
110000296358,384,0,0
110000296361,64,11,309
