,Metadata_Plate,negcon,poscon,trt
244,110000293098,32,32,319
245,110000293236,32,32,320
246,110000293237,32,32,320
247,110000293238,32,32,320
248,110000294881,64,11,309
249,110000294882,32,32,320
250,110000294883,32,32,320
251,110000294884,32,32,319
252,110000294885,32,32,320
253,110000294886,32,32,320
254,110000294887,32,32,320
255,110000294888,32,32,320
256,110000294889,32,32,320
257,110000294890,32,32,320
258,110000294891,32,32,320
259,110000294892,32,32,319
260,110000294893,32,32,314
261,110000294899,384,0,0
262,110000294901,64,11,309
263,110000294902,32,32,320
264,110000294903,32,32,320
265,110000294904,32,32,320
266,110000294905,32,32,318
267,110000294906,32,32,320
268,110000294907,32,32,320
269,110000294908,32,32,320
270,110000294909,32,32,320
271,110000294936,65,11,308
272,110000294938,384,0,0
273,110000295491,32,32,316
274,110000295492,32,32,319
275,110000295493,32,32,317
276,110000295494,32,32,317
277,110000295495,32,32,316
278,110000295496,32,32,317
279,110000295497,32,32,320
280,110000295498,32,32,320
281,110000295503,32,32,296
282,110000295504,32,32,302
283,110000295505,32,32,297
284,110000295506,32,32,302
285,110000295507,32,32,298
286,110000295508,32,32,293
287,110000295509,32,32,281
288,110000295510,32,32,296
289,110000295511,68,11,305
290,110000295514,65,11,308
291,110000295516,384,0,0
292,110000295539,384,0,0
293,110000295541,66,11,307
294,110000295542,32,32,320
295,110000295543,32,32,319
296,110000295544,32,32,319
297,110000295545,32,32,315
298,110000295559,384,0,0
299,110000295561,65,11,308
300,110000295562,32,32,320
301,110000295563,32,32,320
302,110000295564,32,32,320
303,110000295565,32,32,320
304,110000295566,32,32,320
305,110000295567,32,32,319
306,110000295568,32,32,320
307,110000295569,32,32,320
308,110000295570,32,32,320
309,110000295571,32,32,320
310,110000295572,32,32,320
311,110000295573,32,32,320
312,110000295575,32,32,264
313,110000295576,32,32,259
314,110000295577,32,32,206
315,110000295578,32,32,207
316,110000295599,384,0,0
317,110000295601,67,11,306
318,110000295602,32,32,227
319,110000295603,32,32,227
320,110000295604,32,32,217
321,110000295605,32,32,206
322,110000295606,32,32,229
323,110000295607,32,32,229
324,110000295608,32,32,220
325,110000295609,32,32,210
326,110000295610,32,32,246
327,110000295611,32,32,239
328,110000295612,32,33,253
329,110000295613,32,32,208
330,110000295615,32,32,242
331,110000295616,32,32,239
332,110000295617,32,33,253
333,110000295618,32,32,208
334,110000295619,32,32,213
335,110000295620,32,32,253
336,110000295621,32,32,253
337,110000295622,32,33,216
338,110000295624,32,32,304
339,110000295625,32,32,310
340,110000295626,32,32,296
341,110000295627,67,11,306
342,110000295629,384,0,0
343,110000296159,384,0,0
344,110000296161,65,11,308
345,110000296162,32,32,320
346,110000296163,32,32,320
347,110000296164,32,32,317
348,110000296165,32,32,320
349,110000296166,32,32,320
350,110000296167,32,32,320
351,110000296168,32,32,185
352,110000296169,32,32,96
353,110000296170,32,32,316
354,110000296171,32,32,318
355,110000296172,32,32,319
356,110000296173,32,32,318
357,110000296175,32,32,315
358,110000296176,32,32,318
359,110000296177,32,32,319
360,110000296178,32,32,318
361,110000296288,32,33,222
362,110000296289,32,32,248
363,110000296294,32,34,219
364,110000296295,32,32,183
365,110000296296,65,11,308
366,110000296298,384,0,0
367,110000296299,32,32,319
368,110000296300,32,32,320
369,110000296301,32,32,318
370,110000296302,32,32,319
371,110000296303,32,32,320
372,110000296304,32,32,320
